candidate,min_support,weight,class_name,support,source,anchor_auc,side_auc,delta
v126_min10_w0.5_rankcal,10,0.5,47158son01,11,v119_roniheka_hgnet,0.99916597,1.00000000,0.00083403
v126_min10_w0.5_rankcal,10,0.5,47158son13,22,v112_backtracking_remap,0.99350649,0.99953618,0.00602968
v126_min10_w0.5_rankcal,10,0.5,47158son21,20,v119_roniheka_hgnet,0.99100000,0.99150000,0.00050000
v126_min10_w0.5_rankcal,10,0.5,47158son22,22,v112_backtracking_remap,0.99304267,0.99953618,0.00649351
v126_min10_w0.5_rankcal,10,0.5,47158son23,22,v112_backtracking_remap,0.99350649,1.00000000,0.00649351
v126_min10_w0.7_rankcal,10,0.7,47158son01,11,v119_roniheka_hgnet,0.99916597,1.00000000,0.00083403
v126_min10_w0.7_rankcal,10,0.7,47158son13,22,v112_backtracking_remap,0.99350649,0.99953618,0.00602968
v126_min10_w0.7_rankcal,10,0.7,47158son21,20,v119_roniheka_hgnet,0.99100000,0.99150000,0.00050000
v126_min10_w0.7_rankcal,10,0.7,47158son22,22,v112_backtracking_remap,0.99304267,0.99953618,0.00649351
v126_min10_w0.7_rankcal,10,0.7,47158son23,22,v112_backtracking_remap,0.99350649,1.00000000,0.00649351
v126_min15_w0.35_rankcal,15,0.35,47158son13,22,v112_backtracking_remap,0.99350649,0.99953618,0.00602968
v126_min15_w0.35_rankcal,15,0.35,47158son21,20,v119_roniheka_hgnet,0.99100000,0.99150000,0.00050000
v126_min15_w0.35_rankcal,15,0.35,47158son22,22,v112_backtracking_remap,0.99304267,0.99953618,0.00649351
v126_min15_w0.35_rankcal,15,0.35,47158son23,22,v112_backtracking_remap,0.99350649,1.00000000,0.00649351
v126_min15_w0.5_rankcal,15,0.5,47158son13,22,v112_backtracking_remap,0.99350649,0.99953618,0.00602968
v126_min15_w0.5_rankcal,15,0.5,47158son21,20,v119_roniheka_hgnet,0.99100000,0.99150000,0.00050000
v126_min15_w0.5_rankcal,15,0.5,47158son22,22,v112_backtracking_remap,0.99304267,0.99953618,0.00649351
v126_min15_w0.5_rankcal,15,0.5,47158son23,22,v112_backtracking_remap,0.99350649,1.00000000,0.00649351
v126_min15_w0.7_rankcal,15,0.7,47158son13,22,v112_backtracking_remap,0.99350649,0.99953618,0.00602968
v126_min15_w0.7_rankcal,15,0.7,47158son21,20,v119_roniheka_hgnet,0.99100000,0.99150000,0.00050000
v126_min15_w0.7_rankcal,15,0.7,47158son22,22,v112_backtracking_remap,0.99304267,0.99953618,0.00649351
v126_min15_w0.7_rankcal,15,0.7,47158son23,22,v112_backtracking_remap,0.99350649,1.00000000,0.00649351
v126_min20_w0.35_rankcal,20,0.35,47158son13,22,v112_backtracking_remap,0.99350649,0.99953618,0.00602968
v126_min20_w0.35_rankcal,20,0.35,47158son21,20,v119_roniheka_hgnet,0.99100000,0.99150000,0.00050000
v126_min20_w0.35_rankcal,20,0.35,47158son22,22,v112_backtracking_remap,0.99304267,0.99953618,0.00649351
v126_min20_w0.35_rankcal,20,0.35,47158son23,22,v112_backtracking_remap,0.99350649,1.00000000,0.00649351
v126_min20_w0.5_rankcal,20,0.5,47158son13,22,v112_backtracking_remap,0.99350649,0.99953618,0.00602968
v126_min20_w0.5_rankcal,20,0.5,47158son21,20,v119_roniheka_hgnet,0.99100000,0.99150000,0.00050000
v126_min20_w0.5_rankcal,20,0.5,47158son22,22,v112_backtracking_remap,0.99304267,0.99953618,0.00649351
v126_min20_w0.5_rankcal,20,0.5,47158son23,22,v112_backtracking_remap,0.99350649,1.00000000,0.00649351
v126_min20_w0.7_rankcal,20,0.7,47158son13,22,v112_backtracking_remap,0.99350649,0.99953618,0.00602968
v126_min20_w0.7_rankcal,20,0.7,47158son21,20,v119_roniheka_hgnet,0.99100000,0.99150000,0.00050000
v126_min20_w0.7_rankcal,20,0.7,47158son22,22,v112_backtracking_remap,0.99304267,0.99953618,0.00649351
v126_min20_w0.7_rankcal,20,0.7,47158son23,22,v112_backtracking_remap,0.99350649,1.00000000,0.00649351
